timestamp;TIME;latitude;longitude;locked
20250715_153133.795026;20250715;0;0;searching
20250715_153135.627316;20250715;0;0;searching
20250715_153136.087333;20250715;0;0;searching
20250715_153136.431825;20250715;0;0;searching
20250715_153136.863540;20250715;0;0;searching
20250715_153137.193209;20250715;0;0;searching
20250715_153137.525009;20250715;0;0;searching
20250715_153137.867347;20250715;0;0;searching
20250715_153138.210513;20250715;45.87072333;8.981468333;locked
20250715_153138.548834;20250715;0;0;searching
20250715_153138.882584;20250715;0;0;searching
20250715_153139.212395;20250715;0;0;searching
20250715_153139.541786;20250715;0;0;searching
20250715_153139.870634;20250715;45.87072333;8.981468333;locked
20250715_153140.197920;20250715;0;0;searching
20250715_153140.527612;20250715;0;0;searching
20250715_153140.852864;20250715;0;0;searching
20250715_153141.206118;20250715;0;0;searching
20250715_153141.562641;20250715;0;0;searching
20250715_153141.915847;20250715;45.87072333;8.981468333;locked
20250715_153142.247346;20250715;0;0;searching
20250715_153142.579578;20250715;0;0;searching
20250715_153142.909565;20250715;0;0;searching
20250715_153143.239560;20250715;0;0;searching
20250715_153143.565777;20250715;0;0;searching
20250715_153143.906116;20250715;0;0;searching
20250715_153144.246591;20250715;0;0;searching
20250715_153144.591207;20250715;0;0;searching
20250715_153144.940022;20250715;0;0;searching
20250715_153145.455150;20250715;0;0;searching
20250715_153145.800900;20250715;45.87073667;8.98148;locked
20250715_153146.243185;20250715;0;0;searching
20250715_153146.589079;20250715;0;0;searching
20250715_153147.017948;20250715;0;0;searching
20250715_153147.349572;20250715;0;0;searching
20250715_153147.697476;20250715;0;0;searching
20250715_153148.036982;20250715;45.87073833;8.981485;locked
20250715_153148.372586;20250715;0;0;searching
20250715_153148.703544;20250715;0;0;searching
20250715_153149.038738;20250715;0;0;searching
20250715_153149.368711;20250715;0;0;searching
20250715_153149.692444;20250715;0;0;searching
20250715_153150.029720;20250715;45.87074167;8.981488333;locked
20250715_153150.364236;20250715;0;0;searching
20250715_153150.712959;20250715;0;0;searching
20250715_153151.055052;20250715;0;0;searching
20250715_153151.396008;20250715;0;0;searching
20250715_153151.741916;20250715;0;0;searching
20250715_153152.085016;20250715;45.870745;8.981491667;locked
